Year,평균온도 변화(섭씨온도)
1880 ,-0.10 
1881 ,-0.13 
1882 ,-0.17 
1883 ,-0.20 
1884 ,-0.24 
1885 ,-0.26 
1886 ,-0.27 
1887 ,-0.27 
1888 ,-0.26 
1889 ,-0.25 
1890 ,-0.25 
1891 ,-0.26 
1892 ,-0.26 
1893 ,-0.26 
1894 ,-0.24 
1895 ,-0.22 
1896 ,-0.21 
1897 ,-0.18 
1898 ,-0.17 
1899 ,-0.17 
1900 ,-0.20 
1901 ,-0.23 
1902 ,-0.26 
1903 ,-0.28 
1904 ,-0.31 
1905 ,-0.34 
1906 ,-0.36 
1907 ,-0.37 
1908 ,-0.39 
1909 ,-0.40 
1910 ,-0.41 
1911 ,-0.39 
1912 ,-0.35 
1913 ,-0.32 
1914 ,-0.31 
1915 ,-0.30 
1916 ,-0.30 
1917 ,-0.30 
1918 ,-0.30 
1919 ,-0.29 
1920 ,-0.28 
1921 ,-0.26 
1922 ,-0.25 
1923 ,-0.24 
1924 ,-0.23 
1925 ,-0.22 
1926 ,-0.21 
1927 ,-0.21 
1928 ,-0.19 
1929 ,-0.19 
1930 ,-0.19 
1931 ,-0.18 
1932 ,-0.17 
1933 ,-0.16 
1934 ,-0.15 
1935 ,-0.13 
1936 ,-0.10 
1937 ,-0.06 
1938 ,-0.01 
1939 ,0.03 
1940 ,0.07 
1941 ,0.09 
1942 ,0.11 
1943 ,0.10 
1944 ,0.08 
1945 ,0.04 
1946 ,0.01 
1947 ,-0.03 
1948 ,-0.07 
1949 ,-0.08 
1950 ,-0.07 
1951 ,-0.07 
1952 ,-0.07 
1953 ,-0.07 
1954 ,-0.06 
1955 ,-0.06 
1956 ,-0.05 
1957 ,-0.04 
1958 ,-0.01 
1959 ,0.01 
1960 ,0.03 
1961 ,0.01 
1962 ,-0.01 
1963 ,-0.03 
1964 ,-0.04 
1965 ,-0.05 
1966 ,-0.06 
1967 ,-0.05 
1968 ,-0.03 
1969 ,-0.02 
1970 ,0.00 
1971 ,0.00 
1972 ,0.00 
1973 ,0.00 
1974 ,0.01 
1975 ,0.02 
1976 ,0.04 
1977 ,0.07 
1978 ,0.12 
1979 ,0.16 
1980 ,0.20 
1981 ,0.21 
1982 ,0.22 
1983 ,0.21 
1984 ,0.21 
1985 ,0.22 
1986 ,0.24 
1987 ,0.27 
1988 ,0.31 
1989 ,0.33 
1990 ,0.33 
1991 ,0.33 
1992 ,0.33 
1993 ,0.33 
1994 ,0.34 
1995 ,0.37 
1996 ,0.40 
1997 ,0.42 
1998 ,0.44 
1999 ,0.47 
2000 ,0.50 
2001 ,0.52 
2002 ,0.55 
2003 ,0.58 
2004 ,0.61 
2005 ,0.62 
2006 ,0.62 
2007 ,0.63 
2008 ,0.64 
2009 ,0.64 
2010 ,0.65 
2011 ,0.66 
2012 ,0.70 
2013 ,0.74 
2014 ,0.78 
2015 ,0.83 
2016 ,0.87 
2017 ,0.91 
2018 ,0.93 
2019 ,0.93 
2020 ,0.94 
2021 ,0.96 
2022 ,0.98 
2023 ,1.00 
