"국가",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"세계",21284043,21440490,21390041,21531833,21676895,22299203,22778983,23202623,23365548,23530421,24280272,24644438,24989513,26133423,27331853,28371817,29308176,30418994,30632299,30238050,32095873,33079721,33460088,34119894,34261370,34070177,34145652,34687837,35560556,35477245,33566428
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아프가니스탄",2047,1941,1525,1528,1494,1458,1407,1344,1318,1122,1078,1089,1403,1653,1292,1962,2284,2848,4376,6559,8576,11962,10208,9402,9281,10058,9295,10023,10972,11239,8709
"아르메니아",19845,20690,10756,4974,2708,3437,2482,3324,3493,3103,3561,3602,3119,3495,3764,4461,4489,5204,5686,4511,4337,4937,5717,5502,5479,5343,5067,5371,5712,6196,6747
"아제르바이잔",53484,52059,63613,48052,33515,32475,27193,26490,26491,26122,27687,26397,26178,28569,28312,30043,30488,27628,30448,25496,24312,27282,30111,30940,32243,31773,32239,31957,32728,35521,34305
"바레인",10737,10347,12272,13066,13372,13536,14155,14416,15489,15451,15877,16386,17221,17944,17927,20694,22485,23001,24762,24717,25966,26018,27174,28853,30283,30492,30301,30515,30844,32967,32470
"방글라데시",11524,10831,11823,12568,13543,16554,16825,18971,19250,20106,20687,25635,27284,28630,30528,32711,35903,37992,41581,44750,50488,54310,58985,62966,66313,73157,81129,87658,95945,92645,85493
"부탄",185,183,205,177,206,246,297,381,377,379,389,379,412,378,314,395,398,399,423,397,493,744,834,908,1012,1042,1228,1310,1454,1433,1035
"브루나이",3260,3385,3585,3928,4265,4601,4827,5225,4518,4433,4718,4709,4620,5516,5103,4991,7521,7143,7913,7874,7171,7333,7300,7209,7080,6398,6969,7290,7540,7058,9588
"캄보디아",1260,1304,1348,1385,1425,1471,1530,1641,1882,1907,1963,2153,2211,2378,2378,2658,2963,3661,4056,4745,5141,5364,5674,5738,6947,8433,11066,12661,13556,18093,18653
"중국",2173364,2302185,2418175,2645412,2767666,3088620,3070505,3134113,3236279,3153661,3346526,3529081,3796157,4424413,5113217,5824625,6437470,6993183,7199605,7719071,8474923,9282554,9540540,9979128,10021043,9859281,9860914,10089273,10567262,10762824,10944686
"키프로스",4591,5109,5480,5736,5978,5848,6211,6305,6610,6871,7128,6992,7169,7834,7779,7901,7999,8307,8491,8276,7898,7635,7099,6428,6812,6852,7219,7361,7199,7191,6772
"조지아",33488,25506,20073,16094,10444,8177,6363,5519,4990,4522,4773,3516,2958,3157,3373,4243,4701,5627,4839,5624,5322,6522,7193,8024,8654,9399,9814,9907,9725,10550,10255
"인도",563575,607224,626293,651351,685903,737856,774070,819269,836270,901325,937858,953537,985453,1011771,1085667,1136466,1215205,1336737,1424383,1564881,1659983,1756744,1909442,1972429,2147107,2158023,2195249,2308804,2458176,2423951,2200836
"인도네시아",148343,162315,171416,185087,199176,223679,236717,261157,262705,279483,280636,302055,305633,333878,341235,342148,364467,379957,376138,391083,415537,475801,481791,448400,484640,489053,483979,515396,568008,605291,563197
"이란",198472,219101,233651,236729,266697,271520,279812,292399,290997,323360,340456,354068,369876,389777,417660,450796,484179,514143,523048,542297,541171,552051,559122,583703,605356,599183,607216,626428,637434,625252,616561
"이라크",64206,45545,67338,89562,102116,100069,98881,118910,91784,72714,87631,97553,91165,81278,88108,85128,82958,76650,88136,94206,108550,113040,129004,139104,134046,133170,143281,156456,168154,180688,163512
"이스라엘",33806,34524,36857,40505,43361,46775,48734,50967,51505,52984,56997,57953,61081,62926,63160,61012,64331,66598,66708,65728,70520,69823,76063,67003,64718,66315,65233,65906,61425,62796,58472
"일본",1090508,1103961,1115035,1107587,1160755,1170985,1184647,1172604,1130281,1168955,1184425,1172340,1206760,1213930,1207286,1215474,1193043,1227991,1158836,1102386,1157242,1213776,1254319,1267376,1217307,1178349,1164869,1150835,1111115,1073645,1014065
"요르단",9934,9781,11925,12204,12994,13604,13868,14374,14616,14631,16268,16251,16874,17310,18581,19869,20167,21090,20009,20665,20197,20756,24123,23804,25553,25309,24730,26022,24710,23148,20974
"카자흐스탄",237251,246366,253842,219246,199170,175238,153395,132241,135838,122649,120152,117443,131067,146142,158030,169218,185299,198392,242038,213617,229702,245455,244599,260015,209261,191060,202476,214898,216897,204592,211897
"북한",119308,112936,99712,91419,83613,78242,68661,66038,60919,66615,71823,74385,71198,72738,74324,77678,78937,65634,72832,55257,51690,37099,38483,27629,31223,25102,28128,54286,50121,55548,52437
"대한민국",247676,274793,297050,327604,354277,385406,409990,431638,366567,401879,447237,456674,461000,463914,485910,481002,487852,503694,514925,526640,575216,598481,600316,599601,588089,607827,615444,626178,630187,612134,569682
"쿠웨이트",29128,7823,23046,30743,36672,36249,35629,37307,42134,45742,49838,53189,55594,58121,61918,69911,72438,70600,75847,77654,80726,83291,85316,87364,85576,89022,91376,90378,92652,93864,92309
"키르기스스탄",22762,20423,13764,10081,6545,4594,5761,5680,6022,4785,4643,3962,4965,5580,5558,5307,5362,6473,7442,6735,6394,7690,10146,9455,9849,10267,9676,9439,11307,10017,9080
"라오스",513,546,596,610,638,675,781,826,852,878,903,998,1105,1151,1211,1257,1643,1734,2048,2538,2877,3043,3272,4161,4345,8876,15702,19055,19664,19171,19179
"레바논",5622,7040,7021,10326,11274,13305,14124,16128,16255,17035,15673,16891,16836,17415,17879,17279,16234,15040,18646,21903,20864,21175,23470,23245,25151,27017,27755,29171,27401,26917,21475
"말레이시아",54615,65096,67175,73044,79739,86310,98645,106015,105685,114455,124356,129459,136378,144010,157850,166973,173633,189465,202459,181473,199867,202401,205416,223087,236265,236229,231669,225104,241451,244882,245139
"몰디브",157,160,225,203,205,261,282,338,311,430,462,481,614,529,693,627,791,811,871,917,963,1013,1145,1129,1355,1339,1466,1546,1776,2000,1454
