"국가",총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외),총 배출량(LULUCF 제외)
"국가",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"오스트레일리아",-,-,278160.270,279534.030,284528.770,288873.510,293700.920,305055.590,311940.490,320332.760,334135.550,343959.210,350007.700,357783.390,362536.530,369441.740,382873.450,386205.380,392436.330,399676.260,404255.700,407477.160,405512.170,404256.790,406579.730,399288.010,393049.370,401378.360,410253.590,413655.460,415350.720,415811.270,399405.500,388777.530
"오스트리아",-,-,62167.160,65765.660,60266.150,60692.130,61066.640,64044.060,67388.550,67285.130,66920.030,65671.310,66171.720,70171.320,71974.940,77401.890,77699.210,79097.400,76817.410,74117.800,73495.470,67315.330,72017.320,69909.260,67282.920,67776.040,64175.900,66365.640,67226.570,69608.670,66571.890,67956.160,62121.250,66018.630
"벨기에",-,-,120292.800,123362.630,122488.490,121423.880,124796.750,125936.290,129478.740,123990.620,130223.500,124681.140,126721.540,126066.060,126863.010,128248.330,128770.820,125627.920,123872.980,120463.270,120170.040,107765.100,114604.110,105068.560,102404.520,102714.750,97029.250,101145.630,99623.030,99055.040,99967.320,99470.260,91101.390,95668.080
"캐나다",-,-,458503.100,450159.600,464012.830,464554.170,479033.000,491825.700,508196.660,522577.290,530276.270,544482.080,567096.100,559147.040,564373.840,581427.170,579689.420,574763.650,568584.510,593755.250,576808.660,544139.660,556062.100,565254.010,565781.730,569539.740,566353.020,570680.330,557689.730,566651.890,577066.280,578587.720,522845.300,537173.740
"칠레",-,-,31623.007,30154.109,31771.895,34182.280,36532.172,39467.538,44954.520,50834.012,51871.091,54569.068,51720.444,49738.418,50394.978,51594.788,56382.510,57052.474,58324.462,67525.816,68933.199,65989.098,65782.636,74498.432,79231.021,77423.744,73851.517,79485.146,83167.754,83437.520,84056.492,84574.463,79792.507,-
"콜롬비아",-,-,48556.340,50494.430,54388.400,56115.230,56462.060,58915.420,59012.430,63767.480,63604.140,58094.250,60489.910,58033.570,57254.000,59015.230,60496.180,64420.060,67443.300,68009.430,68230.220,72217.230,79067.980,77135.110,81926.240,86145.150,88337.900,91221.210,93056.660,86277.780,90394.270,-,-,-
"코스타리카",-,-,3134.549,3146.262,3890.232,4080.540,4861.877,4934.526,4790.667,4719.591,5246.605,5364.257,5403.395,5735.380,5851.448,6148.124,6105.244,6339.478,6956.732,7673.555,7642.419,7340.351,7549.134,7846.272,7901.751,8255.121,8282.533,7959.158,8501.514,8655.813,-,-,-,-
"체코",-,-,164250.440,148883.270,145705.800,140124.040,132668.040,131622.220,135018.670,130941.620,125608.820,116671.890,127235.990,127144.370,123969.960,127571.700,128291.630,125690.740,126555.140,128382.090,122951.000,114999.010,117490.710,115201.990,111298.440,106732.700,104256.200,105022.270,106680.870,107776.570,106358.390,101032.690,91697.360,96665.230
"덴마크",-,-,54771.400,65364.950,59562.480,61649.830,65704.490,62729.010,76058.190,66612.860,62436.440,59878.090,55641.440,57356.170,56924.580,62090.080,56536.440,52974.010,60943.960,56170.970,52675.620,50217.140,50717.510,45693.780,41258.350,43115.730,38913.800,36426.240,38231.850,36158.860,36200.570,32595.750,29965.920,31306.350
