"국가",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"OECD 회원국",-,-,14426871.190,14248369.500,14249951.630,14306487.380,14505430.380,14694481.000,15083018.750,15156348.130,15093776.880,15111843.000,15292185.630,15097231.000,15313825.380,15481964.630,15714458.130,15721205.000,15603280.130,15943751.630,15530210.500,14629140.250,15060818.250,14843717.500,14631449.880,14761518.000,14592085.250,14590278.750,14287810.880,14465963.500,14516546.380,14173981.250,13016203.500,13598348.500
"오스트레일리아",-,-,636268.650,621497.020,556765.720,535319.220,530958.920,514211.970,522310.730,522850.340,524332.940,539610.270,566358.310,586636.350,582524.560,591486.980,584853.800,616293.160,626790.480,641523.080,630251.320,630906.550,613332.650,594032.250,579077.440,561101.350,555817.470,540912.200,512483.010,509809.540,514226.360,505857.060,494232.960,464770.670
"오스트리아",-,-,66839.800,63510.440,66620.300,59455.650,67054.990,60182.370,64257.040,60040.830,62758.760,59978.970,66335.330,55087.410,73083.180,76334.790,69002.700,74170.220,81085.780,81695.740,74397.520,72088.140,64934.190,67145.810,74020.840,73986.210,69050.390,72321.370,72828.520,78883.080,83775.260,82126.610,68688.650,67130.650
"벨기에",-,-,142908.440,146108.990,145787.340,144589.810,149390.270,151295.950,154747.820,146791.750,151427.780,145625.100,147191.150,145804.500,145307.850,145730.320,146818.300,143653.110,140973.910,137651.470,137665.470,125246.460,133282.060,122901.640,120167.360,119599.790,113971.730,118134.150,116651.140,116263.920,116976.660,115983.240,106937.750,110627.360
"캐나다",-,-,524095.800,513549.460,542230.360,554003.490,564964.240,596703.340,612866.100,624806.140,624897.380,644872.570,681687.000,663772.590,703795.180,723240.390,724291.800,726677.680,705956.520,731193.600,709425.260,640754.200,683694.550,699362.820,695184.010,703363.100,680879.490,722942.170,693972.030,696007.190,713322.130,704858.180,645400.710,653125.730
"칠레",-,-,-16992.897,-13966.251,-12768.704,-9692.638,-6890.836,-3101.917,3711.120,7384.458,26843.784,16209.767,5279.071,3100.161,15009.640,2788.751,14082.927,16418.550,15616.403,36816.357,37209.319,30853.230,23354.134,31634.037,43209.525,35912.962,40222.185,56595.964,45634.549,122898.895,57881.643,62488.915,55824.538,-
"콜롬비아",-,-,220256.690,223890.120,229291.650,231851.830,233996.400,236422.440,238109.490,245762.750,244939.960,239919.310,223853.220,204573.850,204626.820,223329.270,225783.880,218084.530,220733.960,224566.250,221187.800,220702.840,230220.390,238198.800,239295.850,229629.630,236444.140,233045.970,255282.950,277869.490,279198.630,-,-,-
"코스타리카",-,-,37300.500,36267.940,21774.970,20799.280,21276.230,20099.980,21228.340,21023.650,28280.060,27374.800,27601.230,15500.770,16149.230,15630.860,16702.010,16587.380,17334.400,19489.730,16041.050,15519.390,16701.290,16361.280,17696.120,18736.770,12559.260,14108.710,12773.350,11509.240,-,-,-,-
"체코",-,-,190189.530,170924.740,164965.260,157636.450,150027.710,148694.710,152296.510,148736.090,142879.230,132674.920,141971.340,141599.600,138036.860,141835.270,142866.870,140676.900,143088.990,145322.420,138925.190,129494.550,133012.720,131048.730,126916.170,122170.090,120045.670,121542.350,123999.680,126453.110,130181.880,131229.330,124339.900,126739.700
"덴마크",-,-,78751.960,88679.790,83690.060,84506.060,87979.880,85210.530,97733.590,88676.400,84609.300,82274.180,77865.830,79111.730,79600.770,84476.160,78273.990,73928.180,81844.050,77515.770,72491.090,69028.480,68410.610,62653.240,57622.500,58978.120,55518.810,51719.930,54873.110,52690.410,54547.110,49931.690,47621.760,47971.930
