"에너지원별(1)",에너지원별(2),에너지원별(3),2019,2020,2021,2022
"총1차에너지 (천toe)",소계,소계,297612,285512,300515,303954
"신·재생에너지 공급비중 (%)",소계,소계,5.55,4.34,4.66,5.17
"신·재생에너지 공급비중 (%)",재생에너지,소계,5.31,3.89,4.16,4.65
"신·재생에너지 공급비중 (%)",신에너지,소계,0.24,0.44,0.50,0.52
"신·재생에너지 총생산량①+② (toe)",소계,소계,16524882,12378065,14000317,15706206
"신·재생에너지 총생산량①+② (toe)",① 재생에너지 합,소계,15813116,11115797,12510554,14134169
"신·재생에너지 총생산량①+② (toe)",② 신에너지 합,소계,711766,1262268,1489762,1572037
"① 재생에너지",태양열 (toe),소계,26688,26048,25568,25035
"① 재생에너지",태양광 (toe),소계,3062023,4165154,5317227,6609387
"① 재생에너지",태양광 (toe),사업용,2504790,3504379,4567632,5683463
"① 재생에너지",태양광 (toe),자가용,557234,660775,749595,925924
"① 재생에너지",풍력 (toe),소계,570836,671107,677507,717864
"① 재생에너지",풍력 (toe),사업용,568596,668708,675174,715435
"① 재생에너지",풍력 (toe),자가용,2241,2398,2332,2429
"① 재생에너지",수력 (toe),소계,594539,826344,651227,755117
"① 재생에너지",수력 (toe),사업용,593974,825838,650633,754249
"① 재생에너지",수력 (toe),자가용,565,506,594,869
"① 재생에너지",해양 (toe),소계,101030,97397,96911,90279
"① 재생에너지",해양 (toe),사업용,101030,97397,96911,90279
"① 재생에너지",지열 (toe),소계,224698,240933,255590,279650
"① 재생에너지",수열 (toe),소계,21398,23647,24756,26543
"① 재생에너지",바이오 (toe),소계,4162427,3899174,4263576,4372872
"① 재생에너지",바이오 (toe),바이오가스,96281,95385,114343,101807
"① 재생에너지",바이오 (toe),매립지가스,75518,62190,81226,69389
"① 재생에너지",바이오 (toe),바이오디젤,699713,689957,597068,683019
"① 재생에너지",바이오 (toe),우드칩,226865,237346,231309,170717
"① 재생에너지",바이오 (toe),성형탄,16505,10858,10598,2645
"① 재생에너지",바이오 (toe),임산연료,131073,142876,96770,157598
"① 재생에너지",바이오 (toe),목재펠릿,1543390,1325675,1787454,1836137
"① 재생에너지",바이오 (toe),폐목재,66663,72501,66622,65629
"① 재생에너지",바이오 (toe),흑액,205286,197589,212208,224899
"① 재생에너지",바이오 (toe),하수슬러지 고형연료,102061,154832,152762,66808
"① 재생에너지",바이오 (toe),Bio-SRF,510194,501406,522913,641883
"① 재생에너지",바이오 (toe),바이오중유,488877,408559,390302,352340
"① 재생에너지",폐기물 (toe),소계,7049477,1165993,1198193,1257422
"① 재생에너지",폐기물 (toe),폐가스,4214432,-,-,-
"① 재생에너지",폐기물 (toe),산업폐기물,747659,308446,308638,306647
"① 재생에너지",폐기물 (toe),생활폐기물,828116,410219,420039,408095
"① 재생에너지",폐기물 (toe),대형도시쓰레기,-,-,-,-
"① 재생에너지",폐기물 (toe),시멘트킬른보조연료,577577,234334,272998,318115
"① 재생에너지",폐기물 (toe),RDF/RPF/TDF,-,-,-,-
"① 재생에너지",폐기물 (toe),SRF,546511,212993,196517,224565
"① 재생에너지",폐기물 (toe),정제연료유,135182,-,-,-
"① 재생에너지",폐기물 (toe),폐목재,-,-,-,-
"② 신에너지",연료전지 (toe),소계,492105,755887,1023132,1153529
"② 신에너지",연료전지 (toe),사업용,480826,742434,1006930,1135223
"② 신에너지",연료전지 (toe),자가용,11279,13453,16202,18307
"② 신에너지",IGCC (toe),소계,219661,506381,466631,418508
"② 신에너지",IGCC (toe),사업용,219661,506381,466631,418508
