"국가",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"세계",-,-,-,-,-,-,-,-,-,-,-,1335,1370,1416,1388,1364,1418,1442,1473,1490,1451,1410,1380,1370,1402,1412,1414,1440,1466,1472,1659,1645,1617,1610,1596,1610,1627,1620,1605,1617,1629,1628,1640,1679,1729,1756,1785,1812,1818,1784,1862,1868,1878,1880,1906,-
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아르메니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2167,2246,1156,634,409,495,540,569,585,572,636,640,604,642,683,824,845,950,1007,880,843,927,1019,1000,1024,-
"아제르바이잔",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3158,3088,2465,2175,1948,1809,1514,1444,1485,1369,1403,1411,1415,1477,1539,1600,1560,1412,1520,1334,1280,1369,1473,1474,1502,-
"바레인",-,-,-,-,-,-,-,-,-,-,-,6099,5628,7929,8386,7479,9064,7873,7668,8715,7737,8222,8953,8328,8580,9580,9880,9165,10100,9854,10117,9624,10224,10413,10705,10492,10160,11104,11322,10900,11200,11212,11345,11573,10848,11510,11454,11184,11362,10388,10437,10453,10251,10860,10798,-
"방글라데시",-,-,-,-,-,-,-,-,-,-,-,83,85,89,90,90,94,94,95,96,100,100,102,102,101,104,108,104,112,115,119,115,119,123,126,135,133,137,140,139,141,152,152,158,158,162,171,177,184,192,206,211,218,220,227,-
"부탄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,277,308,313,358,-,-,-,-,-,-,-,-
"브루나이",-,-,-,-,-,-,-,-,-,-,-,1278,1219,2311,3848,4637,5914,6188,5599,5640,7182,6695,6964,7111,7920,8024,6811,6755,5432,6107,6593,7236,7569,7099,6424,7513,7387,7458,7266,7252,7141,6479,6209,7075,6372,6048,8453,8521,9212,7796,8182,9646,9419,7389,8530,-
"캄보디아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,265,264,294,289,282,278,318,322,260,259,254,254,250,359,369,380,391,398,419,-
"중국",-,-,-,-,-,-,-,-,-,-,-,465,477,484,486,527,537,577,617,619,609,597,607,622,651,658,671,694,720,724,767,737,753,788,816,867,882,872,869,879,899,929,985,1118,1268,1394,1515,1630,1673,1778,1955,2085,2150,2204,2224,-
