"국가별",1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국",-,-,292105.1,315352.6,343354.1,378546.0,403568.6,433787.9,470280.3,501912.3,431434.5,469414.8,502730.4,516008.7,538458.1,548808.4,557042.8,561483.4,566903.4,580196.2,593540.7,597319.4,655106.3,683798.1,687005.0,695715.3,690779.9,691341.1,692409.8,709422.3,725027.3,699213.7,654445.5,676647.9,-
"방글라데시",-,-,-,-,-,-,45926.2,-,-,-,-,-,-,84906.9,-,-,-,99442.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"중국",-,-,-,-,-,-,4057617.0,-,-,-,-,-,-,-,-,-,-,8015000.0,-,-,-,-,10543331.0,-,11895765.0,-,12300200.0,-,-,-,-,-,-,-,-
"키프로스",-,-,5577.9,6081.9,6518.6,6805.9,7062.9,6977.7,7350.8,7445.3,7761.0,8039.4,8311.8,8252.7,8490.0,8882.4,9090.4,9239.2,9486.6,9821.9,10043.6,9807.6,9472.7,9170.1,8636.0,7931.4,8303.6,8350.1,8780.1,8947.8,8846.1,8895.9,8523.5,8725.6,8778.5
"인도",-,-,-,-,-,-,1214248.0,-,-,-,-,-,1523766.6,-,-,-,-,-,-,-,-,-,2136826.1,-,-,-,-,-,2839425.0,-,-,-,-,-,-
"인도네시아",-,-,266818.4,292610.4,306828.6,318657.5,334191.2,-,-,-,-,-,554333.5,537949.0,545911.0,559139.0,583101.0,590736.0,610242.0,607947.0,629710.0,628562.0,685711.0,726262.0,757250.0,796579.0,864948.0,907334.0,883224.0,-,-,-,-,-,-
"이란",-,-,-,-,-,-,385433.3,-,-,-,-,-,483669.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"이스라엘",-,-,-,-,-,-,-,-,58550.5,-,-,-,68138.6,-,-,70683.3,71037.8,71739.3,73208.3,76437.5,78084.5,74400.4,77294.4,79833.2,85551.5,79985.2,77784.6,80854.2,80837.0,80106.2,80346.2,81397.7,79741.4,78663.3,81348.9
"일본",-,-,1269334.0,1283796.3,1295612.0,1291392.1,1352429.8,1373818.3,1386747.6,1378810.2,1330304.2,1353662.4,1373303.4,1347561.4,1371613.9,1378452.0,1369829.3,1377463.9,1356080.3,1391300.3,1318507.4,1246549.6,1300046.8,1350741.1,1393594.2,1405350.4,1356511.0,1317836.2,1300146.8,1286736.3,1242715.7,1207742.4,1144932.5,1168094.5,1133600.0
"카자흐스탄",-,-,386682.8,374536.0,351663.7,318608.9,273342.8,260567.7,247873.0,244367.6,252975.0,224661.2,260434.1,247386.5,263995.4,278029.5,282922.8,287466.4,301694.8,303873.7,300707.9,294889.3,315855.5,306112.3,311685.6,320869.5,342321.1,346827.1,346787.3,366656.8,383836.6,352690.7,333971.0,338123.4,-
"사우디아라비아",-,-,165269.0,-,-,-,-,-,-,-,-,-,296059.9,-,-,-,-,-,-,-,-,-,525332.2,-,548262.6,-,-,-,653704.0,-,-,-,-,-,-
"튀르키예",-,-,219526.2,226794.7,233132.5,240771.8,234387.8,248248.9,267581.4,278813.8,280319.0,277776.8,298916.8,279740.1,285623.4,304794.8,314423.6,337575.0,358002.5,391697.0,388494.6,395177.1,398793.2,428617.6,448184.5,440195.3,459489.5,474967.5,501107.9,528565.9,523108.0,508725.9,523990.8,564389.8,558270.5
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"캐나다",-,-,588602.8,582031.2,599242.7,601743.7,621934.1,639070.3,660767.8,676394.2,682434.8,694516.9,719463.7,710171.8,715489.8,734140.6,736725.5,732220.1,725289.2,748070.1,730801.2,689549.3,701867.6,711312.8,716370.5,723096.3,720195.5,722918.3,704927.9,712233.8,724615.8,723679.3,658788.4,670428.3,707767.6
"멕시코",-,-,467413.1,477528.9,479929.7,483660.3,513962.0,503565.3,521689.5,551984.4,577829.1,569142.3,587814.4,583999.1,606421.9,606865.1,626817.0,636926.2,653275.5,687425.9,736252.6,721705.0,719697.3,737877.0,722401.9,735453.2,734998.2,745778.8,785540.4,757106.4,765600.8,736629.6,-,-,-
