"국가",2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"세계",1631880.7,1693501.3,1729446.5,1755566.7,1807682.9,1868748.4,1942204.5,2003766.8,2053479.7,-
"아시아",,,,,,,,,,
"대한민국",2275.7,2653.9,3861.3,3964.8,4210.0,4640.9,5389.3,5502.8,5871.5,6173.2
"아르메니아",208.5,195.7,205.5,285.5,330.7,330.8,301.0,299.5,254.6,285.9
"아제르바이잔",254.9,254.8,234.0,260.2,241.0,224.6,237.9,226.8,175.0,187.3
"바레인",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-
"방글라데시",8584.4,8595.1,8530.2,8470.7,8408.0,8311.0,8146.8,8019.3,8109.4,-
"브루나이",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,-
"캄보디아",3097.3,3197.5,3333.3,3414.7,3543.8,3610.2,3865.2,3887.7,3827.7,-
"중국",216795.9,225855.2,243520.0,253801.6,265874.1,283885.3,303300.6,328176.3,350435.2,-
"키프로스",134.2,138.3,134.9,154.4,160.6,177.1,190.7,195.5,229.7,240.3
"조지아",938.8,1207.7,1198.5,1143.6,1209.7,1183.6,1154.4,1042.0,963.4,1129.1
"홍콩",69.5,72.8,72.0,85.0,88.8,92.6,93.0,104.9,96.2,-
"인도",170644.1,177688.4,181734.2,185083.4,193907.0,204320.5,212006.9,216767.9,221537.5,-
"인도네시아",62074.9,60122.9,60200.8,55535.3,56385.7,57240.1,61211.5,59260.5,62421.7,-
"이란",1598.8,1796.5,1741.8,1740.9,1946.9,1845.7,1938.2,1961.3,1978.5,-
"이라크",419.3,455.8,301.0,269.0,341.0,239.4,208.4,479.6,476.4,-
"이스라엘",377.6,415.4,486.1,513.8,562.1,582.1,570.4,794.8,942.3,1104.6
"일본",17799.8,19169.4,20319.1,21953.8,21555.4,23633.0,24736.3,26115.2,26762.0,28457.1
"요르단",150.7,154.5,161.7,177.9,315.8,372.3,498.5,569.0,680.6,-
"카자흐스탄",716.4,731.1,751.6,904.9,1149.3,1114.3,1041.9,1070.2,1105.3,-
"북한",2244.7,2284.9,2213.3,1961.2,2207.5,2135.5,2218.2,2068.6,2228.4,-
"쿠웨이트",0.0,0.5,0.8,0.9,1.3,3.2,5.0,24.5,46.3,-
"키르기스스탄",1223.0,1129.5,1146.5,957.5,989.3,1222.7,1233.2,1193.5,1203.4,-
"레바논",285.3,279.2,200.8,220.6,217.1,230.7,256.0,287.9,298.7,-
"말레이시아",1472.5,1714.5,1825.8,1888.2,2437.8,2908.8,3186.6,3397.1,3586.5,-
"몽골",148.6,153.9,160.6,162.4,164.6,164.6,179.0,198.6,229.1,-
"미얀마",11170.9,11322.8,11381.5,11480.6,11550.2,11683.1,11824.0,11701.7,11728.7,-
"네팔",8500.8,9583.7,9729.9,9825.6,9985.7,10175.3,10328.4,10619.5,10809.0,-
"오만",0.0,0.1,0.1,0.3,0.3,1.3,1.4,1.4,11.0,-
"파키스탄",34269.8,35151.2,35922.3,37061.1,37712.0,38266.7,38985.4,40099.0,40873.0,-
"필리핀",18973.8,18759.2,19541.7,20383.2,20677.6,20417.3,20726.4,20957.0,20761.5,-
