"국가별",2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022
"국가별",전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타,전체,가연성 연료,수력,원자력,풍력,태양열,기타
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"대한민국",541996,390858,8394,138784,1149,1605,1206,550934,381511,7820,156407,1146,2557,1493,552697,375110,5796,164762,1342,3975,1712,562700,385483,6634,161995,1683,5123,1782,566893,400161,7006,148427,2169,7056,2074,590129,435310,7270,133505,2465,9208,2370,581492,410786,6249,145910,2681,12996,2870,578595,386067,7148,160184,3151,17967,4077,611759,415291,6737,158015,3182,23395,5138,-,-,-,-,-,-,-
"아르메니아",7710,3173,2173,2360,4,-,-,7750,3289,1992,2465,4,-,-,7799,2801,2206,2788,3,1,-,7315,2581,2350,2381,2,1,-,7765,2872,2269,2620,2,3,-,7791,3376,2318,2076,2,19,-,7680,3047,2371,2198,3,61,-,7839,3166,1778,2756,2,137,-,7879,3384,2202,1998,1,294,-,-,-,-,-,-,-,-
"아제르바이잔",23354,21863,1489,-,1,1,-,24728,23423,1300,-,2,3,-,24688,23042,1638,-,5,5,-,24953,22936,1959,-,23,35,-,24321,22515,1746,-,22,37,-,25229,23339,1768,-,83,39,-,26073,24359,1565,-,105,44,-,25839,24627,1070,-,96,47,-,27889,26464,1277,-,91,56,-,-,-,-,-,-,-,-
"바레인",25867,25867,-,-,-,-,-,27204,27204,-,-,-,-,-,28462,28453,-,-,-,9,-,28479,28469,-,-,1,9,-,29193,29183,-,-,1,9,-,29516,29506,-,-,1,9,-,33453,33442,-,-,1,10,-,33374,33363,-,-,1,10,-,33887,33874,-,-,1,12,-,-,-,-,-,-,-,-
"방글라데시",53358,52270,948,-,4,136,-,56071,55271,623,-,4,173,-,59297,58481,600,-,6,210,-,68980,67721,1020,-,6,233,-,72287,70971,1041,-,6,268,-,77935,76552,1086,-,6,291,-,85046,83925,769,-,6,347,-,85500,84207,875,-,6,413,-,95481,94303,694,-,6,477,-,-,-,-,-,-,-,-
"브루나이",4402,4400,-,-,-,2,-,4506,4504,-,-,-,2,-,4200,4198,-,-,-,2,-,4270,4269,-,-,-,1,-,4157,4155,-,-,-,2,-,4294,4292,-,-,-,2,-,4933,4931,-,-,-,2,-,5736,5734,-,-,-,2,-,5700,5695,-,-,-,4,-,-,-,-,-,-,-,-
"캄보디아",1806,787,1016,-,-,3,-,3118,1263,1852,-,-,3,-,4743,2580,2160,-,-,3,-,5685,3114,2568,-,-,3,-,6831,4115,2711,-,-,5,-,8328,3575,4737,-,-,17,-,8995,4872,4025,-,-,98,-,8982,4604,4073,-,-,306,-,10159,4193,5322,-,-,643,-,-,-,-,-,-,-,-
"중국",5431637,4247009,920291,111613,141197,5564,5963,5794278,4400111,1072882,132538,159979,25134,3634,5814573,4284188,1130270,170789,185766,38776,4784,6133158,4437068,1184048,213287,237070,61586,99,6604476,4754595,1197865,248100,297230,106338,348,7166133,5096318,1231787,294359,365971,177517,181,7503458,5220150,1304440,348350,406030,224460,28,7779060,5330250,1355210,366250,466470,260857,23,8534273,5805870,1339000,407520,656100,325760,23,-,-,-,-,-,-,-
"키프로스",4290,4012,-,-,231,47,-,4350,4084,-,-,182,84,-,4533,4186,-,-,221,126,-,4887,4515,-,-,226,146,-,5004,4621,-,-,211,172,-,5061,4640,-,-,221,199,-,5141,4685,-,-,239,218,-,4849,4313,-,-,240,296,-,5119,4405,-,-,246,468,-,-,-,-,-,-,-,-
"조지아",10059,1788,8271,-,-,-,-,10371,2036,8335,-,-,-,-,10833,2379,8454,-,-,-,-,11574,2236,9329,-,9,-,-,11531,2233,9210,-,88,-,-,12149,2115,9949,-,84,-,-,11857,2840,8932,-,85,-,-,11160,2821,8248,-,91,-,-,12645,2380,10182,-,83,-,-,14247,3388,10771,-,87,-,-
"홍콩",39063,39063,-,-,-,-,-,39803,39803,-,-,-,-,-,37924,37924,-,-,-,-,-,38154,38154,-,-,-,-,-,36970,36970,-,-,-,-,-,36565,36565,-,-,-,-,-,36911,36911,-,-,-,-,-,35189,35189,-,-,-,-,-,37071,37071,-,-,-,-,-,36186,36186,-,-,-,-,-
"인도",1193480,980599,141637,34228,33583,3433,-,1308873,1111341,129353,36102,27057,5020,-,1354382,1158338,121546,37414,30045,7039,-,1432358,1188280,122507,37916,35530,12578,35547,1490257,1217575,126235,38346,38486,24613,45002,1521958,1244959,135164,37813,64294,39728,-,1576740,1253707,156049,46472,69949,50563,-,1533307,1200660,160909,43029,67418,61291,-,1610082,1247823,162441,47112,77140,75566,-,-,-,-,-,-,-,-
"인도네시아",222017,192591,15710,-,1,6,13710,234549,199993,18800,-,-,7,15749,267287,240698,17595,-,-,5,8989,233367,201209,21475,-,6,21,10656,262673,230068,18632,-,6,29,13938,275657,242665,19774,-,-,7,13212,281248,247723,20435,-,-,10,13080,276504,240582,21624,-,-,9,14289,289471,252870,19580,-,-,120,16901,-,-,-,-,-,-,-
"이란",262434,242930,14582,4546,376,0,-,274437,255917,13862,4472,186,0,-,280633,263407,14090,2914,221,1,-,289116,265821,16421,6620,250,4,-,307992,285036,15051,7514,306,85,-,309642,285569,15765,7450,518,340,-,311458,287539,15873,6757,616,673,-,336239,313487,15887,5527,754,584,-,344161,323803,15887,3093,759,619,-,-,-,-,-,-,-,-
"이라크",58468,53665,4757,-,-,46,-,67825,64837,2931,-,-,57,-,68745,66116,2572,-,-,57,-,80042,76614,3371,-,-,57,-,85541,83307,2176,-,-,57,-,81292,79417,1818,-,-,57,-,87370,82350,4963,-,-,57,-,85433,81214,4162,-,-,57,-,86164,82761,3346,-,-,57,-,-,-,-,-,-,-,-
"이스라엘",61322,60794,28,-,6,494,-,60813,59954,13,-,6,840,-,64226,63080,24,-,7,1115,-,66976,65432,0,-,0,1544,-,67674,65742,0,-,180,1511,242,68894,66978,0,-,183,1574,159,72351,68796,-,-,190,3115,250,72285,67702,-,-,204,4163,216,73796,68054,-,-,178,5351,214,-,-,-,-,-,-,-
