"국가별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"아시아",,,,,,,,,,,,,,,,,,,,,,
"대한민국",0.70,0.69,0.70,0.85,0.77,0.87,0.95,1.03,1.06,1.21,1.32,1.35,1.61,1.92,2.87,2.74,2.56,2.84,3.18,3.23,3.63,3.65
"아제르바이잔",2.07,1.75,2.35,2.94,3.07,3.36,2.86,3.78,3.08,3.27,4.45,3.55,2.84,2.52,2.12,2.33,1.93,1.90,1.92,1.69,1.29,1.32
"바레인",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
"중국",29.63,28.36,27.00,23.86,20.17,17.44,16.39,14.88,14.14,13.43,12.26,11.34,11.53,11.47,11.91,12.18,12.56,13.13,13.53,14.29,14.91,15.21
"키프로스",3.08,3.03,3.16,3.24,3.28,3.35,3.49,4.32,5.66,6.29,6.50,7.60,8.60,9.73,9.49,10.41,10.27,10.94,12.02,11.97,15.02,15.63
"조지아",47.25,53.15,56.76,55.33,54.53,41.48,37.22,36.22,36.30,36.72,39.15,31.53,28.69,32.41,30.69,27.54,27.18,27.52,27.37,24.69,23.45,25.18
"홍콩",0.05,0.06,0.08,0.08,0.09,0.08,0.07,0.10,0.13,0.11,0.15,0.48,0.17,0.26,0.23,0.20,0.16,0.20,0.23,0.23,0.33,0.42
"인도",46.88,47.11,45.75,45.63,44.92,44.16,43.16,41.53,39.37,37.41,36.18,35.03,34.76,34.86,33.85,33.39,33.00,32.55,32.93,33.46,36.09,34.92
"인도네시아",45.63,44.33,44.66,43.00,41.46,41.57,40.07,40.01,41.12,38.18,35.96,32.41,30.11,30.65,29.31,26.60,27.75,25.17,22.04,19.75,21.91,20.19
"이란",0.44,0.52,0.67,0.83,0.74,1.40,1.40,1.30,0.70,0.78,0.90,0.92,0.93,0.99,0.93,0.91,1.04,0.98,1.04,0.96,0.92,0.91
"이라크",0.36,0.35,0.31,0.35,0.36,2.43,2.56,2.00,1.15,1.21,1.67,1.14,1.30,1.46,1.00,0.82,0.87,0.53,0.46,0.92,1.11,1.10
"이스라엘",5.96,6.30,6.50,6.52,6.73,7.03,6.86,6.72,8.90,8.46,8.55,9.08,2.88,3.27,3.70,3.74,3.99,3.89,3.84,4.49,5.61,6.20
