국가,배출원,항목,단위,1988 년,1989 년,1990 년,1991 년,1992 년,1993 년,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
대한민국,에너지,배출원별 온실가스 배출량,,,,240294.4846,258113.1879,278995.6349,308499.8086,327799.6796,352000.6819,385582.1095,411617.5285,351493.3078,382112.7798,411584.709,425928.6322,445254.6332,452962.4605,460054.6416,469333.9397,474631.2588,492132.3822,506048.645,512320.7746,564678.6543,593697.4135,594966.1118,602945.0458,595638.8481,598980.4876,600950.3384,614421.6579,630679.1767,609566.834,568060.442,587730.603,
대한민국,산업 공정 및 제품 사용,배출원별 온실가스 배출량,,,,20445.09645,24351.02256,29955.35689,34422.52483,38742.54029,43147.14986,44771.00948,49643.92029,40765.69129,48423.79299,50869.86074,49389.0035,53682.85184,56488.92474,58664.69273,54561.95361,54323.07524,51144.79976,50734.42025,47786.84651,53005.8315,52954.07016,54433.90447,55064.01717,57917.25202,54493.24193,53466.79756,56453.88138,55796.1463,52168.79144,48527.68857,51397.6156,
대한민국,농업,배출원별 온실가스 배출량,,,,20971.69685,21238.36345,21640.66984,22108.39014,22554.06664,22820.64849,23333.73263,23341.75331,23066.85372,21941.912,21368.79123,20868.2954,20731.307,20473.99632,20567.85425,20738.72773,20844.82036,21070.50426,21145.9855,21654.56763,22070.24878,21120.56692,21470.18203,21347.72355,21374.42581,20983.963,20809.52026,20958.19297,21135.52763,20964.73088,21173.06173,21414.89869,
대한민국,폐기물,배출원별 온실가스 배출량,,,,10393.78495,11650.03739,12762.48495,13515.25388,14472.32698,15819.44458,16593.44878,17309.04879,16108.6031,16936.34362,18907.08898,19822.78649,18789.27871,18883.05198,17755.63523,16848.74352,17104.28717,15848.46416,15611.66687,15557.18023,15351.56439,16026.07215,16134.77937,16358.5154,15849.39225,16883.37145,17183.11868,17588.56367,17416.43083,16513.31394,16684.26682,16104.78761,
방글라데시,에너지,배출원별 온실가스 배출량,,,,,,,,15210,,,,,,,30777.67,,,,38645.07,,,,,,,,,,,,,,,,,
방글라데시,산업 공정 및 제품 사용,배출원별 온실가스 배출량,,,,,,,,1281.48,,,,,,,2915.85,,,,2912.7,,,,,,,,,,,,,,,,,
방글라데시,농업,배출원별 온실가스 배출량,,,,,,,,28122.39,,,,,,,38292.81,,,,43118.89,,,,,,,,,,,,,,,,,
방글라데시,폐기물,배출원별 온실가스 배출량,,,,,,,,1312.29,,,,,,,12920.53,,,,14765.58,,,,,,,,,,,,,,,,,
중국,에너지,배출원별 온실가스 배출량,,,,,,,,3007780,,,,,,,,,,,6243000,,,,,8282832,,9337323,,9558575,,,,,,,,
중국,산업 공정 및 제품 사용,배출원별 온실가스 배출량,,,,,,,,282631,,,,,,,,,,,871000,,,,,1299909,,1462349,,1717012,,,,,,,,
중국,농업,배출원별 온실가스 배출량,,,,,,,,605086,,,,,,,,,,,788000,,,,,828413,,937856,,829845,,,,,,,,
중국,폐기물,배출원별 온실가스 배출량,,,,,,,,162120,,,,,,,,,,,113000,,,,,132177,,158237,,194768,,,,,,,,
키프로스,에너지,배출원별 온실가스 배출량,,,,3952.5,4485.04,4808.67,4985.59,5197.89,5105.05,5400.03,5523.11,5865.32,6130.61,6355.2,6249.67,6410.69,6801.44,6941.75,7139.72,7324.45,7646.31,7859.01,7788.16,7551.64,7255.22,6772.66,5849.91,5997.56,6121.94,6498.48,6581.02,6515.56,6570.34,6063.73,6225.9,6260.04
키프로스,산업 공정 및 제품 사용,배출원별 온실가스 배출량,,,,727.93,687.86,762.12,833.5,870.23,839.72,904.13,876.05,840.12,852.94,882.16,875.28,918.25,932.75,1014.78,1003.19,1059.55,1072.03,1093.84,929.89,809.86,811.54,772.13,1013.2,1241.76,1157.03,1185.19,1248.9,1198.19,1168.96,1266.17,1284.79,1313.33
키프로스,농업,배출원별 온실가스 배출량,,,,454.74,461.28,491.51,519.7,514.25,544.36,551.74,541.38,543.56,534.94,542.91,586.22,609.97,592.67,572.69,525.54,531.15,529.5,508.12,500.49,514.8,506.9,484.68,449.17,437.26,441.85,462.39,476.12,481.8,495.53,531.55,546.27,533.63
키프로스,폐기물,배출원별 온실가스 배출량,,,,435.18,440.71,449.08,459.8,472.74,481.39,487.64,497.08,504.51,513.07,523.24,533.6,541.54,544.68,548.53,557.57,557.86,559.92,570.25,577.38,583.92,588.96,599.05,609.15,619.19,623.02,626.15,633.61,643.33,654.18,653.35,660.59,665.31
인도,에너지,배출원별 온실가스 배출량,,,,,,,,743820,,,,,,1027016.49,,,,,,,,,,1510119.38,,,,,,2129743,,,,,,
인도,산업 공정 및 제품 사용,배출원별 온실가스 배출량,,,,,,,,102710,,,,,,88596.13,,,,,,,,,,171488.54,,,,,,226368.95,,,,,,
인도,농업,배출원별 온실가스 배출량,,,,,,,,344485,,,,,,355601.65,,,,,,,,,,390165.38,,,,,,407973,,,,,,
인도,폐기물,배출원별 온실가스 배출량,,,,,,,,23233,,,,,,52552.29,,,,,,,,,,65052.8,,,,,,75340,,,,,,
인도네시아,에너지,배출원별 온실가스 배출량,,,,169616.37,186373.05,198279.83,208146.43,222099.84,,,,,,280936.22,327938,340323,350044,368508,372891,391424,386593,409736,398639,453178,488936,508120,545408,602458,652077,618580,,,,,,
인도네시아,산업 공정 및 제품 사용,배출원별 온실가스 배출량,,,,14302.76,14702.13,15589.82,17388.26,19143.81,,,,,,42668.96,48269,41688,41402,43146,42296,38641,35919,36499,37546,36033,35910,40078,39164,47489,48665,49629,,,,,,
인도네시아,농업,배출원별 온실가스 배출량,,,,75101.12,83585.46,84851.89,84852.37,84507.24,,,,,,73399.98,97789,97479,98547,100299,102419,101819,105757,103030,107733,108487,108718,112727,112104,113441,111311,117100,,,,,,
인도네시아,폐기물,배출원별 온실가스 배출량,,,,7798.14,7949.76,8107.05,8270.43,8440.32,,,,,,157328.32,63953,66421,69146,71148,73130,78358,79678,80445,84644,88013,92698,96325,99903,101560,95281,97915,,,,,,
