"국가","항목","단위","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"세계","온실가스배출량","","","","","","","","","","","","","","","","","","","","","","30629970.88","30804062.57","30704762.56","30852305.35","31131196.23","31923717.14","32523974.52","32918471.19","33134920.9","33329416.84","34208319.15","34593446.49","35018764.11","36315561.75","37789694.06","39003677.98","40128914.6","41442032.12","41744912.56","41308021.97","43442887.33","44714895.87","45230397.93","45922199.7","46235969.43","46135596.34","46288080.19","47035210.47","48069812.64","48089616.91","46120921.47",
"세계","온실가스배출량(증감률)","","","","","","","","","","","","","","","","","","","","","","",".92941","4.16452","-.39443","1.51217","2.11382","2.68459","13.45212","15.21258","6.957","6.09766","5.58039","12.65532","16.19091","19.42534","23.49824","27.22267","30.72077","27.28663","25.94268","33.16302","38.07881","40.00331","","","","","","","","",
"세계","메탄배출량","","","","","","","","","","","","","","","","","","","","","","6769672.836","6805605.647","6765741.066","6791619.132","6829106.03","6913738.291","6956504.035","6923737.515","6930825.804","6953508.413","7052596.557","7063278.644","7073769.533","7204894.13","7370395.104","7496968.503","7600379.132","7695744.362","7758972.418","7692661.976","7859106.429","8003436.327","8078148.405","8072529.283","8145185.02","8175655.012","8175602.069","8275067.714","8396188.995","8447770.963","8317919.864",
"세계","메탄배출량(증감률)","","","","","","","","","","","","","","","","","","","","","","",".6024","2.67141","-2.47751","-.76165","-1.67432","-1.7508","8.13976",".19075","-2.47796","-2.81523","-1.15095","1.81993","2.45037","6.29493","9.11061","14.23974","15.43193","14.61809","16.59384","17.20673","18.87536","20.18011","","","","","","","","",
"세계","메탄배출량(에너지처리과정)","","","","","","","","","","","","","","","","","","","","","","33.48","33.31358","32.72721","32.55053","31.9871","31.9203","32.29508","32.50879","32.41962","32.31801","32.71893","33.278","33.44103","34.4168","34.67755","35.04904","35.4888","35.93815","36.56548","","","","","","","","","","","","",
"세계","메탄배출량(농업)","","","","","","","","","","","","","","","","","","","","","","46.84851","46.65951","46.71002","46.48672","46.72799","46.83389","46.49265","46.14361","46.34306","46.56476","46.26967","46.09511","46.19149","45.52573","45.71202","45.70329","45.38268","45.13213","44.67197","","","","","","","","","","","","",
"세계","아산화질소배출량　","","","","","","","","","","","","","","","","","","","","","","2274046.133","2260457.229","2254408.464","2238300.066","2327255.928","2381418.874","2429432.359","2400496.023","2413608.83","2418703.169","2431730.194","2444148.766","2488054.112","2499519.768","2575602.842","2592981.467","2633156.708","2685840.582","2669005.708","2671742.433","2725624.898","2819429.919","2831103.974","2820841.483","2866844.525","2889129.102","2913223.87","2977437.457","2976930.847","2987194.734","3017899.395",
"세계","아산화질소배출량(증감률)　","","","","","","","","","","","","","","","","","","","","","","","-1.6407","4.16709","-3.52316",".07999",".87069","1.99699","9.60935","5.68843",".0865","-1.10048","-5.67457","-3.47697","-3.94002","-1.54265",".43366","4.98403","10.39773","2.67462","3.91703","4.46638","5.77527","6.79765","","","","","","","","",
"세계","아산화질소배출량(에너지처리과정)　　","","","","","","","","","","","","","","","","","","","","","","9.07946","9.27615","9.38824","9.57754","9.36015","9.33457","9.41217","9.63574","9.65291","9.57558","9.72086","9.64879","9.50575","9.61786","9.4009","9.39705","9.34538","9.23112","9.35031","","","","","","","","","","","","",
"세계","아산화질소배출량(농업)　　","","","","","","","","","","","","","","","","","","","","","","78.76482","78.71378","78.71611","78.55504","76.35699","76.27296","75.93925","75.79058","76.76856","77.76872","77.17616","77.43172","77.7158","77.32673","77.48159","77.40629","77.54378","77.98606","78.20513","","","","","","","","","","","","",
"세계","기타 온실가스배출량","","4377094.51719","3344271.53037","4074230.61615","3949960.03259","3414709.91203","3679443.2796","3907402.89836","4354399.51459","4288364.03921","4893492.23605","4927594.48382","4474453.73023","6097785.6348","5638032.80969","4239805.76798","4164299.38142","4563713.93113","5402367.96338","4446962.07165","4494111.63664","-1023697.03956","-959417.60861","-867475.30061","-908432.96307","-1000644.09561","-1064283.26722","-1013332.56643","-912526.79682","-865571.37531","-904642.2042","-1014675.30213","-935119.83135","-994160.2092","-1054315.51388","-983638.6987","-942737.62779","-937695.94347","-919309.18741","-827537.30769","-824640.89561","-750161.84095","-706229.78237","-485433.20658","-450855.01729","-611613.66372","-638109.5963","-686834.76474","","","","",
"세계","기타 온실가스배출량(증감률)","","","","","","","","","","","","","","","","","","","","","","","5.73708","23.129","-.17925","5.70428","-.97106","-7.87149","43.63615","62.40196","11.64702","-2.40658","-6.80507","23.90529","27.299","19.63744","28.37382","27.50255","28.07021","6.18447","-2.77259","18.9004","30.18634","30.37444","","","","","","","","",
