"국가","항목","단위","1960 년","1961 년","1962 년","1963 년","1964 년","1965 년","1966 년","1967 년","1968 년","1969 년","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"세계","순에너지수입　","","16.71615","17.6358","19.02263","21.14044","21.96151","23.69134","24.51981","24.6854","26.67113","29.32678","29.50002","-3.6766","-3.23023","-3.41455","-3.56662","-2.14165","-1.54759","-1.68035",".45","-1.47318","-.86185",".22533","1.03877","2.00778",".67986","1.67809",".70042","1.70961","1.40321","1.00289","-2.89054","-2.40036","-3.0501","-2.33721","-3.13438","-3.0464","-2.95286","-3.33769","-4.06171","-2.11477","-2.80295","-3.26757","-1.94385","-2.4336","-2.7325","-3.19811","-3.16302","-2.20221","-2.95701","-2.89189","-2.09501","-3.12974","-2.73341","-3.06718","-2.45986","20.96904","","","","","",
"세계","에너지사용단위당 GDP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.0111","7.01722","7.10484","7.12328","7.27198","7.29865","7.38058","7.59636","7.75484","7.86553","8.05843","8.15392","8.21033","8.2102","8.26588","8.40678","8.59696","8.7963","8.9219","8.91392","8.87597","9.07772","9.19318","9.36504","9.59291","","","","","","",
"세계","이산화탄소배출량　","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21284042.79","21440490.2","21390040.84","21531833.41","21676894.94","22299203.28","22778983.29","23202623.39","23365547.83","23530421.41","24280271.96","24644437.95","24989512.93","26133423.08","27331852.94","28371817.05","29308175.54","30418994.07","30632298.65","30238050.03","32095872.94","33079721.35","33460087.5","34119894.39","34261369.66","34070176.85","34145652.3","34687837.09","35560555.79","35477245.4","33566427.59",
"세계","이산화탄소배출량(탄소강도)　","","2.96149","2.94515","2.9216","2.90109","2.90569","2.90043","2.87873","2.84278","2.82203","2.81317","2.85501","2.67485","2.67067","2.6741","2.64202","2.61414","2.60931","2.59774","2.59388","2.60173","2.58523","2.53798","2.52013","2.51627","2.49979","2.50689","2.50032","2.49727","2.51374","2.52014","2.39963","2.40674","2.40244","2.39327","2.39143","2.39824","2.38982","2.40616","2.41066","2.37329","2.39146","2.40394","2.3911","2.41203","2.41727","2.4412","2.45054","2.47825","2.46574","2.45411","2.46706","2.50606","2.49277","2.50748","2.48411","2.26361","","","","","",
"세계","1인당 이산화탄소배출량","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.02079","3.98327","3.91023","3.87491","3.84195","3.8938","3.91951","3.9352","3.90738","3.88136","3.95158","3.958","3.96138","4.09","4.22372","4.32973","4.4171","4.52826","4.50381","4.39149","4.60493","4.68951","4.68535","4.71956","4.68224","4.60143","4.55825","4.57798","4.64166","4.58201","4.29168",
"세계","이산화탄소배출량(GDP 달러당 kg, 2017년 PPP 기준)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".35675",".35613",".35082",".34804",".34138",".34075",".33576",".32911",".32333",".31441",".30961",".3069",".30297",".30561",".30405",".30189",".29653",".29258",".28668",".28509",".28794",".2856",".28011",".27667",".26868",".2586",".25102",".24565",".24297",".23557",".22951",
"아프가니스탄","이산화탄소배출량　","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2046.87","1941.37","1525.47","1527.89","1493.59","1457.69","1407.3","1344.1","1318","1122","1078.12","1088.638","1403.03","1653.207","1292.307","1961.711","2283.68","2847.81","4375.64","6558.97","8576.15","11961.89","10208.13","9402.05","9281.34","10057.59","9294.93","10022.78","10972.38","11238.83","8709.47",
"아프가니스탄","1인당 이산화탄소배출량","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".19139",".18067",".12652",".10911",".09664",".08878",".08227",".07556",".07127",".05825",".05517",".05529",".06681",".073",".05487",".08036",".08976",".10994",".16557",".23951",".30423",".40897",".33506",".29809",".28369",".29797",".26836",".2812",".29908",".29756",".22348",
"아프가니스탄","이산화탄소배출량(GDP 달러당 kg, 2017년 PPP 기준)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",".0331",".03691",".03699",".04005",".03087",".04213",".04655",".051",".07539",".0931",".10644",".14784",".11189",".09759",".09378",".10017",".09053",".0951",".10289",".10142",".08049",
"아르메니아","순에너지수입　","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0705","98.18049","93.3085","82.51092","77.06829","84.31898","57.65077","70.37276","70.49798","64.12115","68.07252","69.58601","60.18361","64.51257","63.81405","65.42836","66.45051","70.78468","73.21743","68.10664","64.65123","67.34422","72.70666","72.04648","71.3413","","","","","","",
