"국가별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"대한민국","- 가계 및 비영리단체 1인당 순조정가처분소득[US$]","US$","23714","24936","25263","25650","26404","27165","27926","28478","","",
"대한민국","- 평균 가계 가처분소득 상위 5분위[5분위]","5분위","7.4","6.9","7","7","6.5","6.3","5.8","6","5.8","",
"대한민국","- 중위 순자산[US$]","US$","","186268","","","","216404","","","","",
"대한민국","- 상대적 소득 빈곤선 이하의 가계 가처분소득[%]","%","18.2","17.5","17.6","17.3","16.7","16.3","15.3","15.1","14.9","",
"대한민국","- 연간 국가 상대 소득 빈곤선의 3개월치 이하의 동등액 액면 금융자산[%]","%","","4.3","","","","20.283","","","","",
"대한민국","- 고용률[%]","%","73.708","73.816","73.859","74.22","74.053","73.972","72.78","72.996","74.832","75.724",
"대한민국","- 성별 임금 격차[%]","%","36.65318","37.17628","36.66667","34.61738","34.10731","32.48044","31.48475","31.06484","31.24208","29.30086",
"대한민국","- 장기 실업률[%]","%",".00808",".01362",".03536",".04929",".05351",".03492",".0245",".04458",".02994","",
"대한민국","- 노동 시장 불안정성[%]","%","2.99079","3.05813","2.94817","","","","","","","",
"대한민국","- 연간 평균 총 소득[US$]","US$","40746","41878","43106","44119","45640","47207","48294","49142.98052","48921.93486","",
"대한민국","- 총 중위 소득의 2/3 미만을 버는 전일제 근로자[%]","%","23.7","23.5","23.5","22.3","19.04357","16.96204","15.96147","15.63202","16.93948","16.24194",
"대한민국","- 상위 소득 10분위의 전일제 근로자[10분위]","10분위","4.78737","4.5886","4.50191","4.30238","3.92553","3.6283","3.59745","3.60747","3.65385","3.68399",
"대한민국","- 과밀 주거 가구[%]","%","5.75216","","","7.74642","6.43195","5.22164","4.7033","3.9757","","",
"대한민국","- 주거 비용 부담[%]","%","84.35981","85.05752","84.99637","85.04247","85.14631","85.3747","85.41692","85.47765","85.85012","",
"대한민국","- 기본 위생시설에 접근하지 못하는 저소득 가구[%]","%","5.34437","","3.4507","3.01688","2.12286","1.04395",".66071","","","",
"대한민국","- 가정 내 인터넷 접속 여부[%]","%","98.48694","98.78347","99.19445","99.50465","99.47818","99.68929","99.74851","99.93245","99.96078","",
"대한민국","- 시간 여유[시간]","시간","14.83003","","","","","","","","","",
"대한민국","- 성별 근무 시간 격차[분]","분","21.91845","","","","","","","","","",
"대한민국","- 출생 시 기대 수명[년]","년","81.8","82.1","82.4","82.7","82.7","83.3","83.5","83.6","","",
"대한민국","- 긍정적인 건강 인식[%]","%","47.7","32.5","46.3","29.5","48.1","33.7","49.6","","52.4","",
"대한민국","- 부정적인 건강 인식[%]","%","15.6","17.6","15.4","17","15.4","15.2","13.8","","12.3","",
"대한민국","- 자살, 알코올, 약물로 인한 사망[명]","명","32.95738","32.05421","30.71666","28.74651","30.26397","29.65308","28.42362","","","",
"대한민국","- 학생 독서 기술[점수]","점수","","517.43671","","","514.05229","","","","515.42","",
"대한민국","- 낮은 독서 기술을 가진 학생[%]","%","","","","","7.54708","","","","7.29251","",
"대한민국","- 독서 점수 상위 10분위[10분위]","10분위","","","","","1.69548","","","","1.69029","",
"대한민국","- 학생 수학 기술[점수]","점수","","524.10622","","","525.933","","","","527.3","",
"대한민국","- 낮은 수학 기술을 가진 학생[%]","%","","","","","7.54708","","","","7.29251","",
"대한민국","- 수학 점수 상위 10분위[10분위]","10분위","","","","","1.65631","","","","1.70103","",
"대한민국","- 학생 과학 기술[점수]","점수","","515.80991","","","519.00725","","","","527.82","",
"대한민국","- 낮은 과학 기술을 가진 학생[%]","%","","","","","7.54708","","","","7.29251","",
"대한민국","- 과학 점수 상위 10분위[10분위]","10분위","","","","","1.65501","","","","1.69593","",
"대한민국","- 사회적 지원[%]","%","77.24227","77.24227","77.24227","79.59382","79.59382","79.59382","80.93465","80.93465","80.47382","80.47382",
"대한민국","- 사회적 지원 부족[%]","%","25.7235","22.8534","18.53972","19.05986","20.00006","21.56031","19.006","18.79768","","",
"대한민국","- 사회적 상호작용에 소요된 시간[시간]","시간","4.92519","","","","","","","","","",
