"국가",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"세계",1364504.3,1439319.5,1542844.5,1664977.0,1827784.9,1990239.5,2154637.6,2293872.8,2479011.8,2735531.4,3001559.6,3316060.7,3832675.0,4662491.3,5358933.6,5990674.1,6508276.3,7356785.5,8700846.3,10113430.9,11419164.2,11796482.8,11648085.9,11972210.8,12445989.3,13023992.8,15351689.9,17485079.2,19547533.4,20324144.5,22822610.0,23823551.6,25468013.3,25959419.0,27938851.3,31140610.1,31857694.1,31752297.2,31697043.7,32730998.3,33839387.4,33626960.2,34917697.0,39152139.3,44116244.6,47760320.7,51749808.6,58314867.9,64072295.9,60718262.8,66514174.6,73957792.9,75603976.7,77751368.3,79894385.8,75359657.2,76588030.5,81550955.8,86686870.8,87945574.3,85577718.3,97527032.9,101225059.6,105435039.5
"아시아",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아프가니스탄",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3521.4,2813.6,3825.7,4520.9,5224.9,6203.3,6971.8,9747.9,10109.3,12416.2,15856.7,17805.1,19907.3,20146.4,20497.1,19134.2,18116.6,18753.5,18053.2,18799.4,19955.9,14266.5,14502.2,-
"아르메니아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2256.9,2069.9,1272.8,1201.3,1315.2,1468.3,1597.0,1639.5,1893.7,1845.5,1911.6,2118.5,2376.3,2807.1,3576.6,4900.5,6384.5,9206.3,11662.0,8647.9,9260.3,10142.1,10619.3,11121.5,11609.5,10553.3,10546.1,11527.5,12457.9,13619.3,12641.7,13878.9,19513.5,24212.1
"아제르바이잔",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8884.8,5344.0,444.7,1570.4,1193.1,2417.3,3176.5,3962.4,4446.4,4581.2,5272.6,5707.6,6236.1,7276.4,8680.4,13245.4,20981.9,33049.4,48851.3,44292.4,52909.3,65952.8,69679.9,74160.6,75239.8,53076.2,37867.0,40866.6,47112.5,48174.2,42693.0,54825.4,78807.5,72356.2
"바레인",-,-,-,-,-,-,-,-,-,-,391.6,422.2,534.1,761.1,1042.2,1099.1,1581.7,1989.1,2272.0,2710.2,3493.8,3943.1,4145.4,4247.0,4440.9,4152.4,3470.7,3856.9,4209.8,4393.1,4809.5,5248.9,5402.2,5913.0,6330.6,6651.2,6938.2,7219.4,7031.3,7528.5,9062.9,8976.2,9593.5,11074.8,13150.2,15968.7,18504.8,21730.0,25710.9,22938.2,25713.3,28776.6,30749.3,32539.5,33387.7,31125.9,32250.1,35423.6,37802.0,38653.3,34621.8,39288.7,44383.3,43205.0
"방글라데시",4274.9,4817.6,5081.4,5319.5,5386.1,5906.6,6439.7,7253.6,7483.7,8471.0,8992.7,8751.8,6288.2,8086.7,12512.5,19448.3,10117.1,9651.1,13281.8,15565.5,18138.0,20249.7,18525.4,17609.0,18920.8,22278.4,21774.0,24298.0,26579.0,28781.7,31598.3,30957.5,31708.9,33166.5,33768.7,37939.7,46438.5,48244.3,49984.6,51270.6,53369.8,53991.3,54724.1,60158.9,65108.5,69476.0,71795.7,79611.6,91637.0,102475.2,115275.5,128607.5,133310.7,149999.0,172886.6,195146.6,265224.5,293732.4,321362.8,351231.7,373979.4,416271.6,460131.7,437415.3
"부탄",-,-,-,-,-,-,-,-,-,-,61.8,66.3,70.1,78.9,92.9,86.8,88.5,97.9,94.1,105.4,128.7,139.2,141.4,156.7,160.4,163.3,191.2,242.7,272.3,264.8,287.8,240.3,240.2,226.0,259.0,290.5,303.4,352.2,363.5,399.3,460.7,496.1,559.3,651.9,735.3,860.4,942.9,1255.8,1317.5,1331.3,1673.5,1938.4,1939.7,1913.2,2057.3,2154.9,2322.7,2591.4,2583.3,2735.7,2457.6,2768.8,2898.2,-
"브루나이",-,-,-,-,-,114.0,132.8,139.0,160.8,161.2,179.1,197.5,270.8,433.1,1073.6,1168.3,1423.0,1732.7,1941.6,2803.8,4928.8,4366.2,4264.2,3844.6,3782.6,3523.5,2358.6,2754.5,2690.7,2985.5,3520.5,3701.8,4183.6,4105.7,4087.2,4734.1,5115.5,5197.3,4051.1,4600.1,6001.3,5601.0,5843.4,6557.4,7872.2,9531.4,11470.5,12247.7,14393.4,10732.6,13707.3,18525.1,19048.4,18094.3,17097.8,12930.3,11400.5,12128.2,13566.9,13469.2,12005.8,14006.5,16681.5,15128.3
"캄보디아",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,749.1,790.4,716.3,766.6,723.7,744.4,815.2,865.5,939.3,1021.2,1102.7,1167.6,1037.0,1662.9,1353.1,1402.5,2055.0,2491.5,2533.7,2791.4,3441.2,3506.7,3443.4,3120.4,3517.2,3654.0,3984.0,4284.0,4658.2,5337.8,6293.0,7274.6,8639.2,10351.9,10401.9,11242.3,12829.5,14054.4,15228.0,16702.6,18050.0,20016.7,22177.2,24571.8,27089.4,25872.8,26961.1,29504.8,31772.8
